Lufttemperatur 2m °C,Windgeschw 10m m/s,Relative Feuchte,Globale Strahlung W/m^2,Absolute Feuchte g/kg,Luftdruck hPa
16.3,0.9,0.73,0,8.7,1002
15.4,1,0.76,0,8.7,1002
14.2,1.6,0.8,0,8.5,1002
15,1.4,0.8,0,8.4,1002
14.4,1,0.8,1,8.5,1002
15.8,0.8,0.79,11,8.6,1002
16.5,1.3,0.77,43,8.9,1001
17.8,1.7,0.75,219,9.3,1002
19.4,1.9,0.69,524,9.4,1002
21.1,2,0.61,608,9.2,1002
20.7,2.3,0.56,512,8.8,1002
20.5,2.1,0.58,574,8.8,1001
23.1,3.6,0.53,723,8.7,1001
23,3.4,0.46,635,8.1,1001
24.2,2.5,0.41,692,7.6,1001
24.2,1.9,0.39,610,7.5,1000
23.7,2.5,0.42,360,8,1000
22.8,3,0.46,283,8.4,1000
23.3,1.8,0.46,271,8.2,999
21.7,1.3,0.47,123,8.2,999
19.4,1.5,0.57,14,8.7,999
18.2,2,0.66,0,9.1,999
17.2,2.2,0.7,0,9,999
16.6,1.7,0.73,0,8.9,999
17.3,1.6,0.73,0,8.9,998
15.7,2.1,0.74,0,8.9,999
16.2,1.3,0.77,0,8.8,998
15.4,1,0.77,0,8.7,997
15.7,1.2,0.78,1,8.8,996
15.3,1,0.83,8,9.3,996
14.9,0.9,0.91,21,9.9,996
15.5,1.2,0.93,42,10.3,996
16.2,2.2,0.94,58,10.8,995
16.8,3.8,0.93,77,11.2,995
17.3,5.2,0.91,176,11.3,995
19.1,4.7,0.84,256,11.2,996
19,5,0.79,311,11.1,996
18.8,6.3,0.77,444,10.7,996
21.2,4.1,0.68,510,10.1,996
21.2,6.2,0.59,596,9.5,996
21.7,6.1,0.56,510,9.1,996
20.9,7.3,0.53,353,8.5,997
19.8,5.5,0.53,159,8,997
19,3.9,0.57,27,8.2,998
17.7,5,0.64,1,8.6,998
17.1,4.1,0.69,0,8.7,999
16.8,4.2,0.71,0,8.7,1000
16.5,3.5,0.72,0,8.6,1000
16.1,3.8,0.74,0,8.7,1000
15.9,3.8,0.76,0,8.8,1000
15.4,3.1,0.78,0,8.8,1001
15.2,2.6,0.79,0,8.7,1001
15.3,2.1,0.76,3,8.3,1001
15.1,1.8,0.75,63,8.2,1001
16.7,2.3,0.73,231,8.4,1001
18.6,3.7,0.66,399,8.5,1001
18.5,3.9,0.65,568,8.7,1001
19.6,4.4,0.63,689,8.7,1001
20.2,3.9,0.58,751,8.5,1001
20.3,3.9,0.58,650,8.7,1002
20.9,3.2,0.58,552,8.8,1002
20.2,3.7,0.58,482,8.8,1002
21.7,3.6,0.55,678,8.7,1002
21.3,3.6,0.55,610,8.9,1002
21,2.4,0.55,430,8.8,1001
20.1,2.2,0.57,188,8.8,1002
19.8,1.6,0.62,97,9.1,1002
18.3,1.1,0.64,28,8.9,1002
17.3,0.3,0.7,3,9,1002
16.5,0.5,0.75,0,9.1,1002
15.8,0.2,0.77,0,8.9,1003
15.4,0.3,0.79,0,8.9,1003
14.6,0.1,0.82,0,8.9,1003
15.6,0.2,0.83,0,9,1003
16.5,0.2,0.81,0,9.4,1003
15.6,0.2,0.81,0,9.4,1003
15.8,0.2,0.81,1,9.1,1002
15.5,0.2,0.82,16,9.2,1002
16.5,0.2,0.82,75,9.5,1002
17.7,1,0.78,213,9.6,1002
19.4,1,0.7,372,9.4,1002
20.6,1.5,0.63,559,9.3,1002
20.9,2,0.6,320,9.3,1002
21,1.2,0.62,177,9.7,1002
19.7,1,0.67,181,10.2,1001
19.3,1.7,0.71,416,10.2,1001
18.2,0.6,0.78,317,10.8,1001
18.3,0.4,0.84,301,11.2,1001
19.1,0.7,0.8,365,10.9,1001
17.9,1,0.8,253,10.8,1001
16.8,2.3,0.86,101,10.8,1001
16.7,2.1,0.87,67,10.6,1001
15.9,1.2,0.86,2,10.1,1001
15.5,1.3,0.86,0,9.8,1002
15.1,1.4,0.88,0,9.7,1002
14.9,2.4,0.88,0,9.5,1002
14.8,1.6,0.87,0,9.3,1002
14.5,1.2,0.88,0,9.3,1002
13.9,1.1,0.88,0,9,1002
14.1,1.1,0.88,0,8.9,1002
14.3,1.6,0.84,1,8.6,1001
14.8,1.3,0.8,19,8.4,1001
15.4,1.8,0.78,49,8.4,1001
15.5,2.7,0.75,91,8.4,1001
15.2,2.5,0.76,137,8.4,1001
15.8,2.7,0.78,223,8.7,1002
16.7,2.8,0.72,242,8.4,1001
15.9,4.3,0.7,523,8.2,1002
17.9,4.6,0.66,696,8,1002
18.5,4,0.58,680,7.7,1001
18.5,5.1,0.54,540,7.3,1001
16.4,5.2,0.57,279,7.2,1001
16.5,2.2,0.68,267,8,1002
17.7,4,0.68,263,8.4,1002
17,3.5,0.64,219,8,1002
16.3,2.5,0.63,39,7.5,1002
14.8,1.6,0.63,5,7,1002
14.3,2.1,0.66,0,6.9,1002
13.8,2.6,0.69,0,7,1002
13.7,2.8,0.71,0,7.1,1003
13.7,2.3,0.74,0,7.3,1003
13.4,2.2,0.75,0,7.4,1003
12.7,2.3,0.77,0,7.3,1003
13.2,1.4,0.78,0,7.3,1002
13.3,1.9,0.77,3,7.4,1002
13.3,2.6,0.75,55,7.3,1002
13.9,3.1,0.73,172,7.2,1002
14.6,4.3,0.7,246,7.2,1002
14.8,5,0.67,362,7.1,1002
13.4,6,0.71,379,7.2,1002
15.7,5.6,0.7,652,7.3,1003
16.9,5.8,0.58,740,6.8,1003
18.4,4.6,0.51,686,6.5,1003
17.9,3.7,0.5,625,6.6,1004
18.3,4.9,0.5,505,6.5,1004
18,3.8,0.5,538,6.5,1004
18.8,3.1,0.5,472,6.6,1004
18.3,2.9,0.5,356,6.8,1003
17.8,1.7,0.54,192,7,1003
16.8,1.7,0.56,95,6.9,1003
16,1.6,0.6,11,7,1003
15.3,1.8,0.64,0,7.1,1003
14.4,2.1,0.7,0,7.3,1003
13.5,2,0.77,0,7.6,1002
12.5,1.9,0.83,0,7.7,1004
11.7,1.8,0.88,0,7.8,1004
11.1,1.5,0.92,0,7.8,1004
11.1,1.5,0.93,0,7.8,1004
11.4,1.7,0.92,0,7.8,1004
11.4,2.2,0.93,29,7.8,1004
12.2,2.3,0.92,65,8,1004
12.7,1.6,0.9,121,8.2,1005
12.4,2.2,0.9,183,8.2,1005
14,2,0.87,292,8.4,1005
14.2,1.8,0.83,417,8.4,1005
15.7,2.2,0.77,342,8.2,1006
15.6,1.5,0.75,202,8.4,1006
15.5,1.2,0.76,184,8.5,1006
16.1,1.7,0.74,207,8.4,1006
14.9,1.8,0.78,165,8.6,1006
14.9,1.4,0.82,186,8.8,1007
14.5,1.7,0.82,88,8.7,1007
14.4,1.3,0.84,74,8.7,1007
14.4,0.8,0.85,37,8.8,1007
13.6,0.6,0.86,4,8.6,1007
13.2,0.5,0.87,0,8.5,1008
12.5,0.7,0.88,0,8.2,1008
11.9,0.9,0.89,0,7.9,1008
11.4,1.1,0.9,0,7.7,1008
11.1,1.4,0.9,0,7.5,1008
11.1,0.7,0.88,0,7.3,1008
10.4,0.6,0.89,0,7.2,1008
10.7,0.3,0.9,0,7.2,1008
11.2,0.2,0.9,41,7.4,1008
12.8,0.9,0.87,108,7.7,1008
14.9,1.6,0.83,204,8.2,1008
16,2.3,0.78,364,8.6,1008
17.5,3.4,0.69,545,8.3,1008
18.4,3.6,0.6,527,7.8,1008
18.5,4.1,0.56,423,7.5,1007
19.8,3.9,0.53,706,7.4,1007
21.1,4.6,0.51,659,7.7,1006
20.9,4,0.5,498,7.9,1006
20.1,4.3,0.53,305,8,1006
18.1,4.2,0.63,166,8.8,1005
15.5,2.7,0.83,102,10,1006
15.5,1.1,0.97,61,10.8,1006
15.7,1.1,0.99,21,11.1,1005
16.1,2,0.98,2,11.2,1005
16.1,2,0.97,0,11.2,1005
16.5,1.8,0.97,0,11.4,1005
16.5,2.4,0.96,0,11.4,1005
16.6,2.9,0.95,0,11.3,1005
16.7,2.5,0.94,0,11.3,1005
16.7,2.4,0.94,0,11.3,1005
16.6,1.9,0.95,0,11.4,1005
16.5,2,0.97,0,11.5,1005
16.3,1.4,0.97,10,11.5,1005
16.5,1.9,0.97,54,11.5,1005
16.7,2.7,0.96,97,11.5,1005
16.9,2.3,0.95,147,11.5,1005
17.4,1.5,0.95,135,11.8,1005
18,2.2,0.94,146,12.1,1006
19,2.8,0.89,140,12,1006
19.2,2.6,0.85,161,11.8,1006
19.9,3,0.83,287,12,1006
20.6,3.7,0.8,366,12,1005
20.6,3.2,0.77,362,11.8,1005
20.3,3.3,0.78,256,11.9,1005
19.6,2.1,0.8,156,11.9,1005
18.5,2.6,0.85,62,11.9,1005
18.3,1.3,0.9,25,12.1,1005
17.9,0.4,0.92,1,12.1,1005
17.9,1.4,0.9,0,11.7,1005
17,1.5,0.87,0,11,1005
17.5,1.2,0.88,0,10.9,1005
17.5,1,0.87,0,11,1005
15.2,1.4,0.88,0,10.3,1004
15.7,1.1,0.9,0,10,1004
16.9,0.9,0.93,0,10.9,1004
16.9,2,0.91,0,11.1,1004
17,2.6,0.88,12,10.8,1004
17.9,3.1,0.86,67,10.9,1004
18,3.1,0.84,144,11,1005
18.5,3.1,0.84,224,11.2,1005
20.2,3.1,0.82,329,11.7,1005
21.1,2.9,0.79,487,12.2,1005
23,2.5,0.73,505,12.3,1005
23.1,2.8,0.69,626,12.3,1005
24.3,2.1,0.64,578,11.9,1005
24.3,1.8,0.61,593,11.7,1005
25.1,2.7,0.6,616,11.8,1005
25.7,2.9,0.56,530,11.6,1005
25.4,1.2,0.55,378,11.4,1004
24.8,1.2,0.57,208,11.5,1004
23.6,0.7,0.62,98,11.8,1004
20.3,0.5,0.72,14,12,1004
18.5,0.5,0.84,0,12,1004
16.9,0.2,0.92,0,11.8,1005
16.9,0.3,0.93,0,11.3,1005
15.6,0.6,0.93,0,10.9,1005
14.7,0.6,0.93,0,10.1,1005
13.8,1.1,0.92,0,9.5,1004
13.2,0.6,0.95,0,9.2,1004
13.6,0.8,0.96,0,9.3,1004
16.2,0.6,0.91,53,9.8,1004
19,0.6,0.86,189,10.9,1004
22.8,0.8,0.8,350,12.5,1004
24.4,1.6,0.72,471,13.4,1003
27,1.9,0.64,548,13.4,1003
27.8,2,0.58,625,13.6,1003
28,2.4,0.59,550,14,1003
28.7,2.6,0.56,682,13.9,1002
29.3,4.9,0.54,732,13.8,1001
28.9,2.6,0.53,742,13.7,1001
29.9,3.4,0.53,604,13.8,1000
27.5,3.1,0.54,423,13.6,999
26.6,3.4,0.58,180,13.4,999
21.3,4,0.73,56,14,998
19.7,2.7,0.86,9,13.3,1000
18.2,0.7,0.87,0,12.2,1002
17.5,0.9,0.91,0,11.9,1002
17.5,1.2,0.93,0,11.8,1003
17.8,1.6,0.92,0,11.8,1003
17.8,1,0.91,0,11.8,1003
17.6,1.1,0.9,0,11.6,1004
16.8,0.6,0.92,0,11.4,1004
16.3,0.3,0.94,0,11.2,1004
16.3,0.8,0.96,0,11.3,1004
16.7,0.3,0.95,9,11.3,1004
17.7,0.4,0.92,46,11.5,1005
18.9,0.5,0.92,151,12.3,1005
21.4,1.3,0.87,392,13.1,1004
22.3,1.2,0.8,514,13.4,1004
23.4,1.3,0.75,456,13.2,1004
23.9,2,0.7,451,13.1,1004
23,1.6,0.73,307,13.5,1004
20.8,1.7,0.8,146,13.5,1004
22.1,0.8,0.81,275,13.2,1004
22.8,1.4,0.77,371,13.3,1004
24,2,0.74,340,13.5,1003
21.7,2,0.77,201,13.6,1003
19.9,4.1,0.85,66,13.3,1003
19.1,2.5,0.88,11,12.6,1003
18.4,2,0.88,0,12,1003
17.9,1.7,0.89,0,11.7,1004
18.1,2.2,0.9,0,11.8,1005
17.2,2.1,0.92,0,11.7,1006
16.7,2.4,0.91,0,11.1,1006
15.7,1.5,0.91,0,10.6,1006
15.2,0.5,0.92,0,10.2,1006
15.1,1.4,0.92,0,10,1007
14.8,0.9,0.9,0,9.6,1007
14.7,0.5,0.89,45,9.4,1007
15.2,0.8,0.87,187,9.3,1007
16.7,1.2,0.82,344,9.3,1008
18,1.4,0.76,505,9.5,1008
19.6,2.1,0.7,645,9.6,1008
20.7,2.4,0.65,750,9.7,1008
21.8,2.2,0.61,823,9.7,1008
21.5,2.1,0.56,839,9.1,1008
23.2,2.2,0.5,796,8.5,1008
24.3,2.1,0.47,752,8.6,1008
24.3,1.4,0.46,637,8.8,1008
23.7,1.3,0.47,447,8.9,1007
23.4,0.9,0.49,295,8.9,1007
22,0.6,0.52,130,9.1,1007
20.2,0.2,0.59,58,9.3,1007
18.7,0.1,0.65,7,9.3,1007
17.5,0.3,0.71,0,9.3,1007
16.6,0.2,0.75,0,9.2,1007
16,0,0.77,0,9,1007
15.2,0.1,0.8,0,9,1006
15.2,0.6,0.82,0,9,1006
15,0.8,0.84,0,9.1,1005
14.6,0.6,0.87,0,9.2,1005
14.5,0.1,0.88,0,9.2,1004
14.9,1,0.89,4,9.4,1004
15.6,0.8,0.89,32,9.8,1003
16.3,0.6,0.9,79,10.3,1003
16.3,0.9,0.91,85,10.7,1002
16.4,1.4,0.93,86,10.9,1003
16.7,0.9,0.93,109,11.1,1002
17.5,0.8,0.94,224,11.6,1002
18.1,1,0.94,177,12.2,1002
18.7,1.2,0.93,155,12.5,1002
19.6,2.7,0.9,320,12.7,1002
20.3,2.9,0.85,587,12.7,1003
20.3,2.2,0.82,520,12.4,1002
20.2,2.5,0.8,397,12.1,1002
19.5,1.1,0.81,177,11.9,1002
18.7,0.2,0.83,65,11.6,1003
17.3,0.2,0.87,5,11.4,1003
16.3,0.1,0.91,0,11,1003
16.2,0.1,0.94,0,11,1004
15.6,0.1,0.96,0,11.1,1004
14.6,0.1,0.98,0,10.6,1004
14.2,0.1,0.99,0,10.3,1004
14.9,0.1,0.97,0,10.1,1004
15.4,0.4,0.94,0,10.2,1004
15,1.5,0.95,0,10.3,1004
15.8,0.1,0.96,29,10.6,1004
18.6,0.1,0.92,153,11.4,1004
21.6,1.1,0.83,324,12.3,1004
23.5,0.9,0.73,487,12.6,1004
24.2,0.8,0.67,649,12.6,1005
25.2,1,0.65,717,12.9,1005
24.9,1.2,0.64,543,12.8,1005
23.6,1.2,0.66,380,12.6,1004
23.3,1.3,0.7,257,12.9,1005
20.8,1.4,0.76,147,12.8,1005
20.5,1.4,0.84,230,12.9,1005
22.1,0.8,0.83,344,13.4,1006
23.2,0.9,0.76,286,13.2,1005
22.7,0.7,0.74,122,13.2,1005
20.7,0.2,0.76,36,12.6,1005
18.8,0.6,0.84,0,12.3,1006
18.8,0.2,0.91,0,12.6,1006
18.3,0.2,0.93,0,12.6,1006
18.1,0.1,0.95,0,12.6,1007
17.6,0.1,0.96,0,12.4,1007
18,0.1,0.95,0,12.3,1007
17.1,0.1,0.96,0,12.1,1007
16.7,0.1,0.97,0,11.8,1007
16.1,0.3,0.96,0,11.4,1007
16.3,0.3,0.96,23,11.2,1007
17.3,0.3,0.96,102,11.6,1008
19,0.2,0.96,233,12.7,1008
21.3,0.2,0.9,427,13.4,1009
22.9,0.9,0.79,597,13.3,1009
24.1,0.9,0.7,708,12.8,1009
24.8,1,0.63,781,12.2,1009
25.6,1.2,0.59,825,11.9,1009
27.1,1,0.55,823,11.9,1009
27.5,1.2,0.51,765,11.6,1008
27.4,1.1,0.48,666,11.2,1008
27.3,1.1,0.49,530,11.3,1008
26.6,1,0.51,377,11.6,1007
25.8,1.5,0.55,202,11.8,1007
24,0.7,0.6,75,12,1007
21.4,0.1,0.69,5,12.1,1007
20.2,0.1,0.76,0,11.8,1007
18.9,0.2,0.79,0,11.4,1007
18.7,0.2,0.82,0,11.3,1007
18.4,0.2,0.84,0,11.3,1006
19,1.5,0.83,0,11.3,1007
18.2,2.1,0.83,0,11.2,1008
17.4,0.2,0.89,0,11.4,1008
17.1,3.1,0.93,0,11.5,1006
17,0.8,0.93,7,11.4,1006
17.6,0.7,0.92,43,11.5,1005
18.9,0.5,0.89,255,11.8,1006
23,0.2,0.8,453,12.6,1006
25.3,1.3,0.7,572,13.3,1006
26.6,1.8,0.64,668,13.6,1007
26.6,1.7,0.62,641,13.7,1007
27.2,1.3,0.63,699,14.1,1007
26.9,3.2,0.63,722,14.4,1007
26.6,2.6,0.62,681,13.8,1007
26.5,2.8,0.6,556,13.2,1007
25.2,2.1,0.62,353,13.1,1008
24.3,2.1,0.66,245,13,1008
22.9,2.7,0.68,149,12.6,1008
22,1.9,0.72,20,12.3,1009
20.7,1.2,0.75,0,12.1,1009
20,1.7,0.79,0,11.9,1010
19.4,1.7,0.8,0,11.6,1011
18.4,2.8,0.81,0,11.2,1012
17.6,2.5,0.83,0,10.7,1012
17.2,2.3,0.82,0,10.3,1012
16,2,0.84,0,9.9,1013
15.4,2.1,0.87,0,9.7,1013
14.1,2.5,0.89,0,9.4,1013
14.4,1.3,0.91,15,9.2,1013
14.6,1.5,0.91,93,9.4,1014
14.9,1.5,0.9,203,9.4,1014
16.4,1.9,0.84,405,9.4,1014
18.6,2.1,0.74,621,9.3,1015
20.2,2,0.63,746,8.9,1014
21.2,2,0.55,812,8.4,1014
22.1,2.9,0.51,825,8.3,1014
22.4,3.1,0.5,814,8.3,1014
22.9,1.2,0.47,746,8.1,1014
22.9,2.8,0.46,643,8,1013
23,2.3,0.46,516,8,1013
21.9,0.9,0.47,309,8,1012
22.8,0.9,0.47,117,8,1012
19.8,0.2,0.53,74,8.4,1012
17.1,0.2,0.66,7,8.7,1012
15.8,0.6,0.74,0,8.6,1012
16.7,0.9,0.76,0,8.8,1012
16.6,1.4,0.76,0,9,1012
16,0.2,0.77,0,8.9,1012
15.2,0.2,0.78,0,8.7,1011
14.3,0.2,0.78,0,8.2,1011
14.2,0.3,0.78,0,7.9,1011
13.4,0.6,0.8,0,7.9,1010
14.3,0.7,0.8,13,8,1010
15.2,0.7,0.79,94,8.3,1010
17.4,1.5,0.76,249,8.9,1009
18.8,2.2,0.71,329,9.2,1009
20.1,3.9,0.66,460,9.3,1008
19.1,4,0.65,411,9.3,1008
19.1,3.5,0.66,487,9.1,1008
20,2.8,0.62,467,8.8,1008
19.2,3.9,0.59,321,8.5,1008
17.8,2.6,0.64,199,8.6,1008
17.3,2.4,0.72,181,9.1,1008
16.4,2,0.78,145,9.4,1008
16.6,1,0.81,130,9.5,1007
16.3,0.7,0.8,170,9.4,1007
15.7,0.8,0.82,48,9.4,1007
15.2,0.8,0.84,0,9.3,1007
14.9,1,0.86,0,9.4,1007
15.2,1.2,0.85,0,9.3,1007
15.6,1.4,0.82,0,9.1,1006
16.1,1.5,0.77,0,8.9,1005
16.5,1.5,0.73,0,8.6,1005
16.6,1.6,0.69,0,8.3,1004
16.5,1.6,0.68,0,8.1,1004
16.9,1.7,0.68,0,8.2,1003
16.8,1.6,0.67,49,7.9,1003
19.4,2.1,0.64,187,8.4,1002
22.1,2.3,0.57,353,8.9,1002
23.4,2.4,0.52,521,9,1001
25.1,3.3,0.47,670,8.9,1001
26.6,3.6,0.41,795,8.7,1000
27.7,3.6,0.37,880,8.5,999
27.6,4.3,0.36,835,8.5,999
27.4,3.7,0.38,527,8.8,999
26.4,3.7,0.41,347,9.2,999
24,3.5,0.45,184,9.1,1000
21,3.8,0.54,74,9.4,1000
19.3,2.2,0.67,63,10,1002
19.4,2.9,0.68,58,9.6,1002
18.4,2.4,0.66,56,9.1,1002
17.7,2.7,0.69,0,9,1003
16.6,2.9,0.72,0,8.9,1004
15.1,2.4,0.76,0,8.7,1005
14.1,2.1,0.8,0,8.4,1006
13.6,1,0.82,0,8.2,1007
13.6,1.6,0.82,0,8.1,1007
13.1,0.8,0.82,0,7.8,1008
13,0.6,0.81,0,7.7,1008
12.9,0.5,0.81,0,7.6,1009
13.2,0.5,0.82,39,7.7,1009
15,1.4,0.78,144,7.9,1009
16.1,2.6,0.73,273,8.1,1010
17.5,2.1,0.68,431,8.2,1010
18.6,2.7,0.6,623,7.8,1011
20.1,2.8,0.52,735,7.3,1011
21.4,3.3,0.46,817,7.1,1011
22,3,0.42,846,6.9,1010
21.8,3.1,0.42,793,6.8,1010
22.8,2.5,0.42,738,7.1,1010
23.7,1.8,0.41,601,7.4,1010
22.5,1.5,0.42,448,7.4,1009
23.4,1.7,0.43,320,7.5,1009
22.5,1.5,0.42,175,7.4,1009
21.1,0.3,0.44,54,7.3,1009
17.7,0.2,0.52,0,7.4,1009
17.4,0.2,0.59,0,7.4,1010
17.9,0.2,0.62,0,7.8,1010
15.6,0.6,0.66,0,7.9,1009
14.7,1.6,0.71,0,7.6,1009
15.5,2.2,0.71,0,7.6,1009
15.4,2.4,0.69,0,7.6,1009
14.2,2.4,0.7,0,7.4,1008
14.5,2,0.71,0,7.3,1008
16.6,2.1,0.67,29,7.4,1008
18.1,2.6,0.62,104,7.7,1008
20.8,2.6,0.56,279,8,1008
23.3,3.1,0.51,430,8.5,1008
24.6,3.2,0.46,564,8.6,1007
25.9,3.4,0.42,706,8.6,1007
26,3.8,0.4,726,8.5,1006
27.4,3.8,0.38,715,8.3,1006
27.2,3.2,0.36,692,8.3,1005
26.9,3.1,0.38,609,8.6,1004
27.7,2.3,0.38,413,8.7,1004
27.6,2.8,0.38,246,8.8,1003
26.8,2.3,0.4,176,9,1003
25.8,1.5,0.42,81,9,1002
24.2,1.2,0.45,30,9.1,1002
22.6,0.9,0.51,0,9.3,1001
21.7,1.4,0.56,0,9.5,1001
21.2,1.7,0.6,0,9.8,1001
19,1.2,0.71,0,10.6,1000
18.8,1.8,0.81,0,11.2,1001
18.1,2.3,0.83,0,11.2,1001
17,1,0.83,0,10.6,1001
17,1,0.81,0,9.9,1002
17.2,1.9,0.76,0,9.5,1003
16.7,2.3,0.75,19,9.2,1004
16.9,4.2,0.74,116,8.9,1004
17.3,4.5,0.69,244,8.5,1006
17.4,5,0.66,355,8.2,1007
18.1,5.5,0.63,476,8.1,1008
19.1,4.8,0.58,625,7.9,1009
20.5,4.7,0.52,673,7.6,1009
21,4.2,0.48,662,7.4,1010
21.7,3.3,0.46,663,7.3,1010
22.5,4.2,0.42,642,7,1010
22,2.2,0.4,392,6.7,1010
21.5,3.9,0.4,189,6.6,1010
20.7,4.4,0.42,111,6.6,1010
20.2,2.7,0.44,88,6.6,1010
18.9,2.4,0.45,8,6.5,1011
17.3,2.1,0.47,0,6.1,1011
16,1.3,0.5,0,5.9,1012
14.5,1.5,0.56,0,6,1013
12.6,0.8,0.65,0,6.3,1013
11.4,0.9,0.7,0,6.2,1014
11.7,0.7,0.72,0,6.1,1014
11.8,0.3,0.73,0,6.3,1014
11.2,0.1,0.75,0,6.3,1014
10.1,0.3,0.78,0,6.2,1014
10,0.2,0.82,33,6.3,1014
13.5,0.5,0.8,114,6.9,1014
16.2,1.1,0.71,189,7.5,1014
17,1.3,0.62,230,7.4,1014
18.1,1.2,0.57,344,7.1,1014
18.7,1.1,0.53,450,7,1014
19.9,1.3,0.48,623,6.7,1013
20.9,1.3,0.44,816,6.5,1013
21.8,1.8,0.4,847,6.3,1012
22.9,0.9,0.37,769,6.2,1011
22.6,1,0.36,555,6.2,1011
22.4,1,0.36,380,6.2,1010
22.2,1.2,0.38,263,6.3,1010
22,1.2,0.38,167,6.4,1010
19.8,0.9,0.43,63,6.6,1009
17,0.6,0.52,0,6.8,1009
15.9,0.3,0.58,0,6.8,1009
14.7,0.9,0.63,0,6.8,1009
14,0.6,0.67,0,6.9,1009
13.5,1.2,0.75,0,7.3,1008
13,1.2,0.76,0,7.3,1008
13.8,1.1,0.74,0,7.2,1007
12,0.9,0.75,0,7,1007
12.9,1,0.77,0,6.9,1006
12.9,1.5,0.76,28,7.1,1006
15.2,1,0.74,147,7.5,1005
17.7,1.7,0.67,227,7.9,1005
19.5,2.1,0.59,329,8,1004
23,2.2,0.51,530,8.1,1004
23.1,1.7,0.47,639,8.4,1003
24.4,1.6,0.48,695,8.8,1002
25.8,2.2,0.44,617,8.9,1001
25,2.8,0.44,439,9.1,1001
25.6,3.2,0.45,609,9.2,1000
25.7,2.8,0.44,501,9.1,1000
27.4,1.9,0.4,499,8.9,999
26.9,2,0.37,330,8.4,999
25,2.1,0.39,138,8.4,998
23.9,1.3,0.46,49,9,998
21.8,0.8,0.54,0,9.6,998
21.4,1,0.6,0,9.8,998
19.8,1.6,0.65,0,10.1,998
19.5,1.1,0.71,0,10.3,997
19.2,0.2,0.69,0,9.9,997
18.4,0.5,0.69,0,9.6,997
18.3,0.7,0.74,0,10,997
17.8,0.2,0.76,0,10.1,997
17.7,0.2,0.77,0,10,997
17.5,0.6,0.79,7,10.2,997
17,1.2,0.83,16,10.5,997
16.3,3.1,0.87,82,10.5,997
17.1,1.3,0.87,206,10.5,998
18.1,0.9,0.85,255,10.9,998
18.8,0.2,0.81,184,10.9,999
18.4,0.6,0.78,170,10.7,999
18.4,1.1,0.81,253,11,999
18.5,1.8,0.82,188,11.1,1000
17.8,2,0.81,126,10.8,1001
16.9,2.2,0.84,104,10.6,1002
17,1.7,0.87,128,10.6,1002
17.6,1,0.82,228,10.3,1003
17.7,0.9,0.79,141,10.1,1003
16.5,0.6,0.8,38,9.9,1004
15.5,0.3,0.85,0,9.8,1004
14.9,0.3,0.89,0,9.7,1005
15.2,0.4,0.9,0,9.7,1005
15.2,0,0.9,0,9.9,1006
15.3,0.1,0.9,0,9.8,1006
14.9,0.2,0.9,0,9.8,1005
14.8,0.3,0.91,0,9.7,1005
14.4,0,0.92,0,9.6,1006
14.2,0.1,0.92,0,9.5,1006
13.8,0.1,0.92,9,9.3,1005
14.8,0.2,0.92,114,9.5,1006
17.4,0.1,0.88,291,10.1,1006
17.8,0.3,0.79,397,10,1006
18.5,0.8,0.72,436,9.5,1006
19.9,1.2,0.66,406,9.2,1006
18.5,1.7,0.64,360,9,1006
17.8,1.6,0.66,386,8.6,1006
18.1,1.5,0.65,350,8.4,1006
18.6,1.2,0.64,161,8.5,1006
18.4,1.1,0.66,208,8.8,1006
20.1,1.3,0.61,319,8.6,1006
20.4,1.1,0.55,349,8.2,1006
19.6,0.7,0.55,228,8.1,1006
17.2,0.3,0.61,57,8.1,1006
14.4,0.1,0.72,0,8.1,1007
13.5,0.1,0.78,0,7.8,1008
13.1,0.1,0.8,0,7.7,1008
11.4,0.1,0.83,0,7.5,1009
11.3,0.9,0.86,0,7.2,1009
10.9,1.2,0.86,0,7.1,1009
10.1,0.4,0.86,0,6.8,1009
10.2,1,0.87,0,6.7,1009
8.7,0.8,0.88,0,6.5,1010
8.9,0.8,0.9,35,6.4,1009
13.1,0.2,0.89,158,7.3,1010
17,0.5,0.78,312,8.4,1010
19.5,0.7,0.65,476,8.6,1010
21.8,1.2,0.53,621,8.1,1010
22.4,0.9,0.44,744,7.3,1010
22.6,0.7,0.39,817,6.7,1010
23.7,0.9,0.38,848,6.8,1010
24.6,0.2,0.38,832,7.1,1010
24.4,0.7,0.36,761,6.8,1010
24.9,0.8,0.35,655,6.8,1010
25.2,1,0.35,520,6.9,1009
24.3,1.3,0.35,363,6.8,1009
23,1.7,0.38,203,6.9,1009
20.5,1.2,0.45,47,7.3,1009
17.8,0.5,0.53,0,7.3,1010
15.7,0.8,0.6,0,7.2,1010
14.3,0.8,0.66,0,7.1,1011
13.8,0.8,0.69,0,6.9,1011
14.3,0.9,0.69,0,6.9,1011
12.5,0.9,0.71,0,6.8,1011
12.1,1.1,0.75,0,6.7,1011
11.2,1.3,0.78,0,6.7,1010
10.2,1.3,0.81,0,6.5,1010
12,1.6,0.82,27,6.8,1010
15,1.5,0.78,146,7.5,1010
17.7,1.2,0.67,310,7.9,1011
20.9,2.1,0.57,463,8,1010
23.3,1.6,0.5,611,8.3,1010
25.3,1.6,0.44,746,8.4,1010
26.3,2.3,0.38,826,8,1010
